Date,Harrogate,Hull,Leeds,Sheffield,York
01/11/2008,80,290,740,490,100
01/02/2009,280,1040,2440,1560,370
01/05/2009,450,1870,3970,2700,630
01/08/2009,570,2360,5140,3400,810
01/11/2009,610,2410,5690,3890,810
01/02/2010,660,2660,6340,4410,940
01/05/2010,760,2930,6880,4820,1040
01/08/2010,830,3230,7140,5450,1150
01/11/2010,830,3370,7680,5720,1150
01/02/2011,830,3540,8130,5940,1220
01/05/2011,860,3670,8560,6320,1240
01/08/2011,1010,4160,9290,7110,1400
01/11/2011,1170,4870,11050,8380,1640
01/02/2012,1370,5640,12760,9810,1980
01/05/2012,1540,6420,14480,11410,2290
01/08/2012,1850,7360,16580,12680,2750
01/11/2012,2030,8190,18420,14090,3080
01/02/2013,2250,9230,20480,15500,3370
01/05/2013,2460,10400,22410,16890,3740
01/08/2013,2620,11300,24240,18070,4060
01/11/2013,2760,12250,25620,19070,4260
01/02/2014,2950,12900,26770,19860,4510
01/05/2014,3070,13640,27890,20570,4640
01/08/2014,3160,14430,29130,21520,4820
01/11/2014,3230,14730,29650,22010,4980
01/02/2015,3370,15070,30360,22520,5180
01/05/2015,3400,15200,30890,22650,5220
01/08/2015,3400,15360,31350,22710,5250
01/11/2015,3400,15490,31670,23190,5290
01/02/2016,3420,15690,31700,23710,5310
01/05/2016,3440,15640,31790,23780,5350
01/08/2016,3330,15670,31760,23750,5360
01/11/2016,3140,15680,31570,23950,5330
01/02/2017,3030,15640,31390,23980,5350
01/05/2017,2940,15620,31180,23980,5320
01/08/2017,2840,15380,31010,23790,5070
01/11/2017,2780,15240,30880,23840,4770
01/02/2018,2730,15160,31070,23830,4590
01/05/2018,2680,15220,30890,23760,4460
01/08/2018,2640,15270,31000,23930,4340
