"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"2011","Darlington","E06000005","Total",48644,48608,9,27,48761,46670,2091,8407,18283,15198,5411,1057,370,35
"2011","County Durham","E06000047","Total",233485,233469,6,10,233537,223803,9734,44287,85322,89782,10709,1569,1548,320
"2011","Hartlepool","E06000001","Total",42102,42095,2,5,42119,40434,1685,6963,13714,15768,4809,377,379,109
"2011","Middlesbrough","E06000002","Total",59956,59914,15,27,60164,57203,2961,8171,24004,19773,6933,789,466,28
"2011","Northumberland","E06000057","Total",148008,147995,7,6,148043,138534,9509,37247,52263,41652,12663,2566,1231,421
"2011","Redcar and Cleveland","E06000003","Total",61899,61878,6,15,61965,59605,2360,11112,27265,17358,4384,1224,578,44
"2011","Stockton-on-Tees","E06000004","Total",82237,82210,10,17,82308,79159,3149,19943,33720,19365,7510,1089,613,68
"2011","Gateshead","E08000037","Total",92589,92582,3,4,92602,89154,3448,9759,38617,24928,16172,2519,541,66
"2011","Newcastle upon Tyne","E08000021","Total",121761,121711,19,31,121894,117153,4741,9447,41054,32049,31232,7210,874,28
"2011","North Tyneside","E08000022","Total",94528,94514,5,9,94566,91295,3271,9674,39436,23569,17112,3906,830,39
"2011","South Tyneside","E08000023","Total",69693,69690,1,2,69707,67167,2540,5598,28697,20818,11401,2572,595,26
"2011","Sunderland","E08000024","Total",123367,123304,25,38,123528,119758,3770,14006,53627,38523,13493,2771,1019,89
"2011","Blackburn with Darwen","E06000008","Total",59615,59585,14,16,59694,57353,2341,8242,16963,27179,5930,822,504,54
"2011","Blackpool","E06000009","Total",68984,68852,35,97,69343,64367,4976,5924,25279,20771,10103,5724,1367,175
"2011","Cheshire East","E06000049","Total",166236,166202,15,19,166329,159441,6888,58368,53498,35582,14620,2116,1365,780
"2011","Cheshire West and Chester","E06000050","Total",147568,147515,14,39,147746,141442,6304,43673,52927,32082,14696,2176,1173,1019
"2011","Halton","E06000006","Total",54686,54680,4,2,54694,53312,1382,10703,18078,19911,5176,424,287,115
"2011","Warrington","E06000007","Total",87943,87935,3,5,87962,85140,2822,20826,36023,21162,8381,1040,449,81
"2011","Allerdale","E07000026","Total",45433,45430,1,2,45438,42345,3093,12118,14704,14368,2785,726,546,191
"2011","Barrow-in-Furness","E07000027","Total",33018,33011,0,7,33058,31224,1834,3913,9526,15664,2939,435,287,294
"2011","Carlisle","E07000028","Total",50230,50177,7,46,50429,48342,2087,11588,17876,14414,5118,966,368,99
"2011","Copeland","E07000029","Total",32428,32420,4,4,32450,30536,1914,7549,12156,10072,1759,451,259,204
"2011","Eden","E07000030","Total",25305,25302,3,0,25308,23043,2265,9682,7588,5493,1641,506,259,139
"2011","South Lakeland","E07000031","Total",53422,53410,3,9,53466,46552,6914,16460,15191,13263,5025,2410,902,215
"2011","Bolton","E08000001","Total",120802,120748,8,46,121001,116371,4630,19681,41803,42171,14811,1477,971,87
"2011","Bury","E08000002","Total",81423,81414,5,4,81440,78113,3327,14699,30939,24269,9880,984,639,30
"2011","Manchester","E08000003","Total",213529,213243,103,183,214377,204969,9408,10634,64967,64692,61370,10236,2383,95
"2011","Oldham","E08000004","Total",92998,92984,5,9,93025,89703,3322,11466,31456,38340,10424,615,684,40
"2011","Rochdale","E08000005","Total",89966,89954,4,8,90015,87552,2463,13761,30151,32888,11603,854,651,107
"2011","Salford","E08000006","Total",108607,108469,40,98,109059,103556,5503,9327,37458,30761,28573,1900,937,103
"2011","Stockport","E08000007","Total",125810,125762,12,36,125975,121979,3996,26832,51895,27074,16736,2133,1230,75
"2011","Tameside","E08000008","Total",99146,99114,10,22,99235,94953,4282,11204,37173,35438,13320,1158,893,49
"2011","Trafford","E08000009","Total",97129,97062,24,43,97330,94484,2846,14622,42812,20948,15922,2129,868,29
"2011","Wigan","E08000010","Total",141519,141492,10,17,141592,136386,5206,24523,63829,39291,11681,1235,949,84
"2011","Burnley","E07000117","Total",39939,39929,3,7,39964,37550,2414,5203,11144,20009,2774,382,349,103
"2011","Chorley","E07000118","Total",46765,46754,4,7,46806,44919,1887,13776,15649,12590,3871,349,339,232
"2011","Fylde","E07000119","Total",37357,37328,9,20,37435,34885,2550,9814,11815,6530,5707,2388,485,696
"2011","Hyndburn","E07000120","Total",35982,35977,2,3,35999,34341,1658,4225,9377,18933,2696,337,289,142
"2011","Lancaster","E07000121","Total",60761,60685,30,46,60942,57822,3120,11067,22678,16128,7011,2889,644,525
"2011","Pendle","E07000122","Total",39383,39380,2,1,39387,37348,2039,5157,9004,22106,2323,342,378,77
"2011","Preston","E07000123","Total",60337,60288,12,37,60519,57567,2952,9846,19439,19170,9653,1673,705,33
