"date","geography","geography code","Rural Urban","disability/health/care: All categories: Long-term health problem or disability; measures: Value","disability/health/care: Day-to-day activities limited a lot; measures: Value","disability/health/care: Day-to-day activities limited a little; measures: Value","disability/health/care: Day-to-day activities not limited; measures: Value","disability/health/care: Day-to-day activities limited a lot: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities limited a little: Age 16 to 64; measures: Value","disability/health/care: Day-to-day activities not limited: Age 16 to 64; measures: Value","disability/health/care: Very good health; measures: Value","disability/health/care: Good health; measures: Value","disability/health/care: Fair health; measures: Value","disability/health/care: Bad health; measures: Value","disability/health/care: Very bad health; measures: Value","disability/health/care: Provides no unpaid care; measures: Value","disability/health/care: Provides 1 to 19 hours unpaid care a week; measures: Value","disability/health/care: Provides 20 to 49 hours unpaid care a week; measures: Value","disability/health/care: Provides 50 or more hours unpaid care a week; measures: Value"
"2011","Darlington","E06000005","Total",105564,9821,10902,84841,4474,5195,57249,47046,37199,15116,4763,1440,94516,6863,1427,2758
"2011","County Durham","E06000047","Total",513242,62875,58411,391956,29292,29985,273636,217373,171564,82404,32568,9333,453187,34336,8826,16893
"2011","Hartlepool","E06000001","Total",92028,11137,10178,70713,5319,5336,47975,39816,30117,14607,5789,1699,82104,5325,1555,3044
"2011","Middlesbrough","E06000002","Total",138412,14959,13919,109534,7593,7498,74627,62855,45295,19719,8001,2542,124252,7516,2301,4343
"2011","Northumberland","E06000057","Total",316028,30940,34558,250530,13138,16047,169673,138990,108458,48580,15641,4359,280331,22304,4553,8840
"2011","Redcar and Cleveland","E06000003","Total",135177,15482,15235,104460,6788,7394,70577,57285,45844,21449,8184,2415,119143,9004,2450,4580
"2011","Stockton-on-Tees","E06000004","Total",191610,17677,18731,155202,8202,9614,106736,88811,64282,26385,9296,2836,171686,11683,2933,5308
"2011","Gateshead","E08000037","Total",200214,22917,21435,155862,10669,10831,107971,85320,67807,31158,12152,3777,177994,12588,3381,6251
"2011","Newcastle upon Tyne","E08000021","Total",280177,26661,25916,227600,12966,14012,166506,133933,89096,38018,14793,4337,254367,15248,3726,6836
"2011","North Tyneside","E08000022","Total",200801,20246,21159,159396,9091,10474,110228,90031,66955,30156,10638,3021,178593,13789,2941,5478
"2011","South Tyneside","E08000023","Total",148127,18166,16315,113646,8337,8323,78687,63345,48861,23700,9394,2827,131387,9351,2596,4793
"2011","Sunderland","E08000024","Total",275506,34206,30346,210954,16170,16201,148150,117365,90557,43951,18155,5478,242975,17821,5089,9621
"2011","Blackburn with Darwen","E06000008","Total",147489,15563,14278,117648,8415,8523,77123,66991,49010,20725,8428,2335,131733,8769,2691,4296
"2011","Blackpool","E06000009","Total",142065,19247,17084,105734,9278,9143,71039,56600,48022,23977,10346,3120,125746,8635,2592,5092
"2011","Cheshire East","E06000049","Total",370127,29206,35625,305296,11098,15896,206008,181595,123065,47306,14247,3914,330124,27525,4454,8024
"2011","Cheshire West and Chester","E06000050","Total",329608,29098,31897,268613,11961,14811,183601,159777,108967,42604,14259,4001,292487,23941,4723,8457
"2011","Halton","E06000006","Total",125746,14556,12309,98881,7370,6979,67989,58684,39693,17504,7732,2133,110728,8009,2440,4569
"2011","Warrington","E06000007","Total",202228,16940,18057,167231,7280,9112,114871,100734,66223,24446,8466,2359,180385,13862,2837,5144
"2011","Allerdale","E07000026","Total",96422,9718,10309,76395,3955,4707,51460,42887,33297,14210,4762,1266,85648,6632,1436,2706
"2011","Barrow-in-Furness","E07000027","Total",69087,8961,8062,52064,4202,4129,35510,29538,22865,10898,4542,1244,60842,4573,1308,2364
"2011","Carlisle","E07000028","Total",107524,9919,10704,86901,4459,5172,59514,48593,37494,15030,4964,1443,96219,7233,1418,2654
"2011","Copeland","E07000029","Total",70603,7537,7524,55542,3477,3631,38151,31329,23938,10516,3760,1060,62622,4695,1179,2107
"2011","Eden","E07000030","Total",52564,4098,5370,43096,1502,2225,28720,24210,18810,7195,1875,474,46602,4208,620,1134
"2011","South Lakeland","E07000031","Total",103658,8290,11229,84139,2797,4404,55455,48461,36385,14117,3701,994,91430,8586,1304,2338
"2011","Bolton","E08000001","Total",276786,27773,27140,221873,13476,14913,148781,125548,93765,39139,14465,3869,246137,18187,4525,7937
"2011","Bury","E08000002","Total",185060,16733,18088,150239,7877,9424,101094,87128,61634,25430,8539,2329,165106,12493,2746,4715
"2011","Manchester","E08000003","Total",503127,47353,42011,413763,27026,26741,304398,245334,159452,62651,27014,8676,460487,23109,7568,11963
"2011","Oldham","E08000004","Total",224897,22535,21791,180571,11046,11975,118464,101526,74987,32778,12179,3427,200575,14526,3651,6145
"2011","Rochdale","E08000005","Total",211699,22630,21729,167340,11836,12145,112119,94233,70158,31303,12453,3552,188439,13550,3605,6105
"2011","Salford","E08000006","Total",233933,25709,22708,185516,12902,12794,129878,107689,75685,32849,13741,3969,210531,13228,3725,6449
"2011","Stockport","E08000007","Total",283275,24487,27772,231016,10520,13345,154930,135500,94251,37601,12505,3418,251293,21091,3921,6970
"2011","Tameside","E08000008","Total",219324,23307,22624,173393,11628,12313,118474,96404,73918,33009,12492,3501,195265,14106,3594,6359
"2011","Trafford","E08000009","Total",226578,18165,20438,187975,8037,9890,126554,115496,71694,27549,9273,2566,203051,15653,2981,4893
"2011","Wigan","E08000010","Total",317849,34847,33474,249528,16528,17780,171868,144283,103934,46797,18112,4723,281345,21162,5484,9858
"2011","Burnley","E07000117","Total",87059,10090,9517,67452,5007,5203,45571,37372,29286,13682,5213,1506,77204,5861,1379,2615
"2011","Chorley","E07000118","Total",107155,9626,10112,87417,4228,5137,60205,51303,35705,14222,4623,1302,94837,7937,1652,2729
"2011","Fylde","E07000119","Total",75757,7849,8714,59194,2823,3554,39037,33815,25591,11619,3692,1040,66570,5907,1131,2149
"2011","Hyndburn","E07000120","Total",80734,9153,8400,63181,4470,4623,42190,34759,27610,12225,4800,1340,71811,5193,1220,2510
"2011","Lancaster","E07000121","Total",138375,12751,14176,111448,5286,6801,77953,64577,46831,18960,6215,1792,123760,9261,1819,3535
"2011","Pendle","E07000122","Total",89452,9280,9428,70744,4540,4959,47279,38965,30826,13431,4921,1309,79206,6432,1412,2402
"2011","Preston","E07000123","Total",140202,12605,12880,114717,6295,7297,80584,65276,47840,18585,6644,1857,126063,8490,2198,3451
"2011","Ribble Valley","E07000124","Total",57132,4076,5470,47586,1454,2253,31314,29415,18376,7049,1805,487,50591,4758,617,1166
"2011","Rossendale","E07000125","Total",67982,6818,6692,54472,3257,3611,37402,31438,22508,9603,3475,958,60348,4864,988,1782
"2011","South Ribble","E07000126","Total",109057,9227,10409,89421,3706,4970,61075,52009,37211,14240,4473,1124,96565,8169,1558,2765
"2011","West Lancashire","E07000127","Total",110685,11212,10926,88547,4697,5179,59961,52675,36226,14800,5380,1604,97259,8242,1812,3372
"2011","Wyre","E07000128","Total",107749,12656,12945,82148,4553,5376,53913,46601,36224,17189,5944,1791,93912,8263,1886,3688
"2011","Knowsley","E08000011","Total",145893,20786,14965,110142,10486,8222,75503,67153,43505,21420,10631,3184,128028,8782,3207,5876
"2011","Liverpool","E08000012","Total",466415,59484,45136,361795,31281,26515,265053,217977,142132,65422,31162,9722,415853,26627,8950,14985
"2011","Sefton","E08000014","Total",273790,32202,29859,211729,13750,13895,141779,124069,89115,40620,15549,4437,239243,20527,5014,9006
"2011","St. Helens","E08000013","Total",175308,21660,18602,135046,9975,9613,92384,78620,55983,26198,11364,3143,152717,12528,3590,6473
"2011","Wirral","E08000015","Total",319783,37898,34306,247579,17405,16925,165202,148028,102085,45687,18448,5535,279443,23879,5768,10693
"2011","East Riding of Yorkshire","E06000011","Total",334179,29029,34936,270214,10822,14707,181349,151003,116859,48307,13877,4133,296811,24355,4418,8595
"2011","Kingston upon Hull, City of","E06000010","Total",256406,25672,24719,206015,12535,13734,146040,110555,89572,38102,14047,4130,232770,12602,3622,7412
"2011","North East Lincolnshire","E06000012","Total",159616,14786,16334,128496,6384,7934,86772,70242,55935,23779,7507,2153,143623,9114,2117,4762
"2011","North Lincolnshire","E06000013","Total",167446,15333,16946,135167,6408,8146,91512,73234,59883,24667,7593,2069,149289,11092,2381,4684
"2011","York","E06000014","Total",198051,13018,17357,167676,4757,8088,120015,98402,67709,23752,6369,1819,179827,12701,1934,3589
"2011","Craven","E07000163","Total",55409,4348,5589,45472,1452,2200,29899,26383,19150,7387,1975,514,48798,4759,674,1178
"2011","Hambleton","E07000164","Total",89140,6330,8695,74115,2115,3527,49156,43384,30682,11235,2972,867,79136,7175,957,1872
"2011","Harrogate","E07000165","Total",157869,10490,14129,133250,3558,5897,88687,79934,53313,18633,4698,1291,141681,11732,1632,2824
"2011","Richmondshire","E07000166","Total",51965,3261,4662,44042,1234,2072,30316,26678,17383,5988,1523,393,47203,3281,564,917
"2011","Ryedale","E07000167","Total",51751,3881,5308,42562,1329,2052,27767,23555,18476,7329,1846,545,45847,4136,627,1141
"2011","Scarborough","E07000168","Total",108793,11369,13004,84420,4537,5684,55861,45241,38721,17588,5712,1531,96258,7663,1695,3177
