"date","geography","geography code","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"2011","Darlington","E06000005","Total",83954,49614,38963,10651,34340,19424,730,1942,6564,5680
"2011","County Durham","E06000047","Total",412617,244235,195620,48615,168382,97195,3540,8597,29133,29917
"2011","Hartlepool","E06000001","Total",73296,41615,32334,9281,31681,18753,599,1494,5428,5407
"2011","Middlesbrough","E06000002","Total",108161,56375,43816,12559,51786,32968,1396,2469,7441,7512
"2011","Northumberland","E06000057","Total",256897,162592,133155,29437,94305,51272,2374,5305,16570,18784
"2011","Redcar and Cleveland","E06000003","Total",109763,64735,51528,13207,45028,25849,823,2130,7901,8325
"2011","Stockton-on-Tees","E06000004","Total",150859,90549,71209,19340,60310,36116,1436,3136,9964,9658
"2011","Gateshead","E08000037","Total",162253,92676,71136,21540,69577,41422,1581,3595,11270,11709
"2011","Newcastle upon Tyne","E08000021","Total",223319,105633,80388,25245,117686,82140,3115,4709,14168,13554
"2011","North Tyneside","E08000022","Total",163435,95366,75058,20308,68069,38774,1387,3824,12220,11864
"2011","South Tyneside","E08000023","Total",120807,64897,51904,12993,55910,32293,1223,2927,9741,9726
"2011","Sunderland","E08000024","Total",223722,126019,99934,26085,97703,59521,1831,4554,15337,16460
"2011","Blackburn with Darwen","E06000008","Total",111628,63490,51277,12213,48138,29039,2060,2831,7516,6692
"2011","Blackpool","E06000009","Total",112758,58738,43184,15554,54020,29900,1102,2921,11160,8937
"2011","Cheshire East","E06000049","Total",299338,189231,154967,34264,110107,61977,2738,5267,19571,20554
"2011","Cheshire West and Chester","E06000050","Total",268208,163364,132646,30718,104844,61625,2292,4478,17952,18497
"2011","Halton","E06000006","Total",99953,56905,44282,12623,43048,26260,781,2036,7301,6670
"2011","Warrington","E06000007","Total",160091,99168,79402,19766,60923,35935,1306,2996,10694,9992
"2011","Allerdale","E07000026","Total",78768,48903,40486,8417,29865,16614,721,1256,5136,6138
"2011","Barrow-in-Furness","E07000027","Total",56110,32639,25880,6759,23471,13152,487,1059,4521,4252
"2011","Carlisle","E07000028","Total",87721,51537,41088,10449,36184,21006,787,1823,6114,6454
"2011","Copeland","E07000029","Total",57344,35394,28906,6488,21950,12539,651,868,3771,4121
"2011","Eden","E07000030","Total",43075,27834,23300,4534,15241,8536,427,600,2528,3150
"2011","South Lakeland","E07000031","Total",85158,54948,45712,9236,30210,15771,995,1184,5453,6807
"2011","Bolton","E08000001","Total",217886,124836,98802,26034,93050,55177,2763,5099,15566,14445
"2011","Bury","E08000002","Total",145999,85944,68245,17699,60055,35525,1471,3499,10162,9398
"2011","Manchester","E08000003","Total",383791,160050,109251,50799,223741,161923,8879,10981,23152,18806
"2011","Oldham","E08000004","Total",172735,97649,77152,20497,75086,43934,3168,4676,11377,11931
"2011","Rochdale","E08000005","Total",164801,91666,70851,20815,73135,43528,2371,4618,11739,10879
"2011","Salford","E08000006","Total",183248,93030,67041,25989,90218,57874,2479,4883,13037,11945
"2011","Stockport","E08000007","Total",227535,134268,108439,25829,93267,55018,2093,4638,15591,15927
"2011","Tameside","E08000008","Total",175048,98967,74680,24287,76081,44846,1713,4222,13326,11974
"2011","Trafford","E08000009","Total",179464,105614,85188,20426,73850,44846,2331,3508,11493,11672
"2011","Wigan","E08000010","Total",255780,153906,119464,34442,101874,60198,2011,5207,17863,16595
"2011","Burnley","E07000117","Total",68995,38915,30096,8819,30080,17289,952,1769,5348,4722
"2011","Chorley","E07000118","Total",84670,53760,42962,10798,30910,17676,620,1648,5713,5253
"2011","Fylde","E07000119","Total",62064,37572,31676,5896,24492,12705,558,1247,4690,5292
"2011","Hyndburn","E07000120","Total",63454,36402,28214,8188,27052,15567,807,1701,4766,4211
"2011","Lancaster","E07000121","Total",106820,61610,48422,13188,45210,26900,1131,1984,7709,7486
"2011","Pendle","E07000122","Total",70543,41412,32614,8798,29131,16457,1244,1670,5061,4699
"2011","Preston","E07000123","Total",107625,57284,44700,12584,50341,32556,1641,2229,7386,6529
