"date","geography","geography code","Rural Urban","Care Provision: All categories: Provision of unpaid care; measures: Value","Care Provision: Provides no unpaid care; measures: Value","Care Provision: Provides 1 to 19 hours unpaid care a week; measures: Value","Care Provision: Provides 20 to 49 hours unpaid care a week; measures: Value","Care Provision: Provides 50 or more hours unpaid care a week; measures: Value"
"2011","Darlington","E06000005","Total",105564,94516,6863,1427,2758
"2011","County Durham","E06000047","Total",513242,453187,34336,8826,16893
"2011","Hartlepool","E06000001","Total",92028,82104,5325,1555,3044
"2011","Middlesbrough","E06000002","Total",138412,124252,7516,2301,4343
"2011","Northumberland","E06000057","Total",316028,280331,22304,4553,8840
"2011","Redcar and Cleveland","E06000003","Total",135177,119143,9004,2450,4580
"2011","Stockton-on-Tees","E06000004","Total",191610,171686,11683,2933,5308
"2011","Gateshead","E08000037","Total",200214,177994,12588,3381,6251
"2011","Newcastle upon Tyne","E08000021","Total",280177,254367,15248,3726,6836
"2011","North Tyneside","E08000022","Total",200801,178593,13789,2941,5478
"2011","South Tyneside","E08000023","Total",148127,131387,9351,2596,4793
"2011","Sunderland","E08000024","Total",275506,242975,17821,5089,9621
"2011","Blackburn with Darwen","E06000008","Total",147489,131733,8769,2691,4296
"2011","Blackpool","E06000009","Total",142065,125746,8635,2592,5092
"2011","Cheshire East","E06000049","Total",370127,330124,27525,4454,8024
"2011","Cheshire West and Chester","E06000050","Total",329608,292487,23941,4723,8457
"2011","Halton","E06000006","Total",125746,110728,8009,2440,4569
"2011","Warrington","E06000007","Total",202228,180385,13862,2837,5144
"2011","Allerdale","E07000026","Total",96422,85648,6632,1436,2706
"2011","Barrow-in-Furness","E07000027","Total",69087,60842,4573,1308,2364
"2011","Carlisle","E07000028","Total",107524,96219,7233,1418,2654
"2011","Copeland","E07000029","Total",70603,62622,4695,1179,2107
"2011","Eden","E07000030","Total",52564,46602,4208,620,1134
"2011","South Lakeland","E07000031","Total",103658,91430,8586,1304,2338
"2011","Bolton","E08000001","Total",276786,246137,18187,4525,7937
"2011","Bury","E08000002","Total",185060,165106,12493,2746,4715
"2011","Manchester","E08000003","Total",503127,460487,23109,7568,11963
"2011","Oldham","E08000004","Total",224897,200575,14526,3651,6145
"2011","Rochdale","E08000005","Total",211699,188439,13550,3605,6105
"2011","Salford","E08000006","Total",233933,210531,13228,3725,6449
"2011","Stockport","E08000007","Total",283275,251293,21091,3921,6970
"2011","Tameside","E08000008","Total",219324,195265,14106,3594,6359
"2011","Trafford","E08000009","Total",226578,203051,15653,2981,4893
"2011","Wigan","E08000010","Total",317849,281345,21162,5484,9858
"2011","Burnley","E07000117","Total",87059,77204,5861,1379,2615
"2011","Chorley","E07000118","Total",107155,94837,7937,1652,2729
"2011","Fylde","E07000119","Total",75757,66570,5907,1131,2149
"2011","Hyndburn","E07000120","Total",80734,71811,5193,1220,2510
"2011","Lancaster","E07000121","Total",138375,123760,9261,1819,3535
"2011","Pendle","E07000122","Total",89452,79206,6432,1412,2402
"2011","Preston","E07000123","Total",140202,126063,8490,2198,3451
"2011","Ribble Valley","E07000124","Total",57132,50591,4758,617,1166
"2011","Rossendale","E07000125","Total",67982,60348,4864,988,1782
"2011","South Ribble","E07000126","Total",109057,96565,8169,1558,2765
"2011","West Lancashire","E07000127","Total",110685,97259,8242,1812,3372
"2011","Wyre","E07000128","Total",107749,93912,8263,1886,3688
"2011","Knowsley","E08000011","Total",145893,128028,8782,3207,5876
"2011","Liverpool","E08000012","Total",466415,415853,26627,8950,14985
"2011","Sefton","E08000014","Total",273790,239243,20527,5014,9006
"2011","St. Helens","E08000013","Total",175308,152717,12528,3590,6473
"2011","Wirral","E08000015","Total",319783,279443,23879,5768,10693
"2011","East Riding of Yorkshire","E06000011","Total",334179,296811,24355,4418,8595
"2011","Kingston upon Hull, City of","E06000010","Total",256406,232770,12602,3622,7412
"2011","North East Lincolnshire","E06000012","Total",159616,143623,9114,2117,4762
"2011","North Lincolnshire","E06000013","Total",167446,149289,11092,2381,4684
"2011","York","E06000014","Total",198051,179827,12701,1934,3589
"2011","Craven","E07000163","Total",55409,48798,4759,674,1178
"2011","Hambleton","E07000164","Total",89140,79136,7175,957,1872
"2011","Harrogate","E07000165","Total",157869,141681,11732,1632,2824
"2011","Richmondshire","E07000166","Total",51965,47203,3281,564,917
"2011","Ryedale","E07000167","Total",51751,45847,4136,627,1141
"2011","Scarborough","E07000168","Total",108793,96258,7663,1695,3177
"2011","Selby","E07000169","Total",83449,74674,6007,1041,1727
"2011","Barnsley","E08000016","Total",231221,204054,15473,4075,7619
"2011","Doncaster","E08000017","Total",302402,269038,18918,5027,9419
"2011","Rotherham","E08000018","Total",257280,226279,17400,4736,8865
"2011","Sheffield","E08000019","Total",552698,495325,35129,7732,14512
"2011","Bradford","E08000032","Total",522452,471426,30983,7738,12305
"2011","Calderdale","E08000033","Total",203826,182457,14170,2690,4509
"2011","Kirklees","E08000034","Total",422458,378793,28118,5926,9621
"2011","Leeds","E08000035","Total",751485,679887,45684,9473,16441
"2011","Wakefield","E08000036","Total",325837,289216,21166,5515,9940
"2011","Derby","E06000015","Total",248752,223168,15682,3586,6316
"2011","Leicester","E06000016","Total",329839,298874,17503,5533,7929
"2011","Nottingham","E06000018","Total",305680,278726,15211,4314,7429
"2011","Rutland","E06000017","Total",37369,33570,2772,356,671
"2011","Amber Valley","E07000032","Total",122309,107702,9510,1785,3312
"2011","Bolsover","E07000033","Total",75866,66242,5444,1490,2690
"2011","Chesterfield","E07000034","Total",103788,90754,7884,1792,3358
"2011","Derbyshire Dales","E07000035","Total",71116,62113,6568,889,1546
"2011","Erewash","E07000036","Total",112081,99519,8137,1508,2917
"2011","High Peak","E07000037","Total",90892,80578,7092,1185,2037
"2011","North East Derbyshire","E07000038","Total",99023,85888,8382,1742,3011
"2011","South Derbyshire","E07000039","Total",94611,84129,6930,1350,2202
"2011","Blaby","E07000129","Total",93915,83363,7244,1234,2074
"2011","Charnwood","E07000130","Total",166100,148973,11970,1863,3294
"2011","Harborough","E07000131","Total",85382,76399,6563,917,1503
"2011","Hinckley and Bosworth","E07000132","Total",105078,93284,7962,1361,2471
"2011","Melton","E07000133","Total",50376,45103,3707,549,1017
"2011","North West Leicestershire","E07000134","Total",93468,82811,6973,1342,2342
"2011","Oadby and Wigston","E07000135","Total",56170,49828,4252,751,1339
"2011","Boston","E07000136","Total",64637,58007,3926,937,1767
"2011","East Lindsey","E07000137","Total",136401,118697,9524,2556,5624
"2011","Lincoln","E07000138","Total",93541,84602,5296,1196,2447
"2011","North Kesteven","E07000139","Total",107766,95573,7737,1473,2983
"2011","South Holland","E07000140","Total",88270,78798,5681,1273,2518
"2011","South Kesteven","E07000141","Total",133788,119947,9259,1603,2979
"2011","West Lindsey","E07000142","Total",89250,78767,6858,1167,2458
"2011","Corby","E07000150","Total",61255,55207,3495,889,1664
"2011","Daventry","E07000151","Total",77843,69390,5997,890,1566
"2011","East Northamptonshire","E07000152","Total",86765,77833,6143,995,1794
"2011","Kettering","E07000153","Total",93475,83733,6496,1142,2104
"2011","Northampton","E07000154","Total",212069,192386,12777,2444,4462
"2011","South Northamptonshire","E07000155","Total",85189,76436,6323,920,1510
"2011","Wellingborough","E07000156","Total",75356,67469,5089,979,1819
"2011","Ashfield","E07000170","Total",119497,105429,8087,2091,3890
"2011","Bassetlaw","E07000171","Total",112863,99648,7988,1785,3442
"2011","Broxtowe","E07000172","Total",109487,97204,8059,1563,2661
"2011","Gedling","E07000173","Total",113543,100101,8998,1554,2890
"2011","Mansfield","E07000174","Total",104466,91758,7361,1797,3550
"2011","Newark and Sherwood","E07000175","Total",114817,101626,8380,1655,3156
"2011","Rushcliffe","E07000176","Total",111129,99338,8553,1147,2091
"2011","Herefordshire, County of","E06000019","Total",183477,162801,13998,2362,4316
"2011","Shropshire","E06000051","Total",306129,271869,22835,4046,7379
"2011","Stoke-on-Trent","E06000021","Total",249008,221623,15214,4357,7814
"2011","Telford and Wrekin","E06000020","Total",166641,148697,10313,2653,4978
"2011","Cannock Chase","E07000192","Total",97462,85645,6947,1736,3134
"2011","East Staffordshire","E07000193","Total",113583,102116,7492,1443,2532
"2011","Lichfield","E07000194","Total",100654,89085,7662,1359,2548
