"date","geography","geography code","Rural Urban","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","Darlington","E06000005","Total",85357,21179,11445,13568,4350,10883,20244,3688,2337,2247,992,181,1065
"2011","County Durham","E06000047","Total",425258,116948,57032,67905,17694,57957,91249,16473,10456,23152,6408,1249,15413
"2011","Hartlepool","E06000001","Total",74228,22758,10057,11992,4076,9276,13063,3006,2342,2376,864,289,1209
"2011","Middlesbrough","E06000002","Total",110409,33002,15053,16891,4874,14542,20472,5575,3246,8375,2528,1044,4784
"2011","Northumberland","E06000057","Total",262162,62584,35791,43363,11823,31650,67024,9927,6585,6371,2749,492,3081
"2011","Redcar and Cleveland","E06000003","Total",111011,31550,14947,18225,6366,14572,21013,4338,3097,3324,1305,328,1678
"2011","Stockton-on-Tees","E06000004","Total",154503,36728,21465,26049,8085,20952,35250,5974,4488,6752,2379,592,3762
"2011","Gateshead","E08000037","Total",164716,46192,23592,25601,8563,18611,35409,6748,4176,6373,2340,489,3505
"2011","Newcastle upon Tyne","E08000021","Total",232203,54885,26240,29055,7928,39659,63073,11363,5360,37730,9736,3358,24572
"2011","North Tyneside","E08000022","Total",165088,39157,23183,26536,8685,19623,41734,6170,4028,5196,2409,419,2345
"2011","South Tyneside","E08000023","Total",122200,34189,17799,19806,7473,14679,23514,4740,3172,4501,1878,486,2119
"2011","Sunderland","E08000024","Total",227314,66036,35248,36935,11411,27289,41337,9058,5704,11658,4087,1316,6232
"2011","Blackburn with Darwen","E06000008","Total",113122,32485,16211,17221,4428,12923,22416,7438,3834,5306,1874,588,2822
"2011","Blackpool","E06000009","Total",116699,36559,18129,19993,4886,13546,18098,5488,2942,3903,1733,429,1723
